id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
buks1238,indo1319,unun9886,Buksa,FALSE,language,290.853,794.233,tkb,,,0,0,0,IN
buku1249,atla1278,nort3404,Bukusu,FALSE,language,68.043,347.719,bxk,,,0,0,0,KE UG
bukw1238,atla1278,kosh1247,Bukwen,FALSE,language,6.9415,10.2006,buz,,,0,0,0,CM NG
bula1259,,,Bulaka River,FALSE,family,,,,,,1,3,4,
bula1260,aust1305,waic1245,Bulangic,FALSE,family,,,,,,0,2,2,
bulg1262,indo1319,mace1252,Bulgarian,FALSE,language,433.646,25.047,bul,,,0,0,22,BG GR MD MK RO RS TR UA
bulg1265,nucl1709,uncl1512,Bulgebi,FALSE,language,-569.713,146.403,bmp,,,0,0,0,PG
buli1253,atla1278,otiv1239,Buli-Koma,FALSE,family,,,,,,0,2,0,
buli1254,atla1278,buli1253,Buli (Ghana),FALSE,language,10.5763,-126.748,bwu,,,0,0,0,GH
buli1255,aust1307,cent2270,Buli (Indonesia),FALSE,language,1.2008,128.443,bzq,,,0,0,2,ID
buli1260,afro1255,polc1245,Buli (Bauchi State),FALSE,language,1.022.809,977.206,uly,,,0,0,0,NG
bull1245,atla1278,mela1257,Southern Mel,FALSE,family,,,,,,3,5,15,
bull1246,atla1278,bull1245,Bullom,FALSE,family,,,,,,1,3,8,
bull1247,atla1278,nort3167,Bullom So,FALSE,language,9.0,-13.16,buy,,,0,0,2,GN SL
bulo1242,aust1305,stie1250,Bulo Stieng,FALSE,language,11.9777,106.798,sti,,,0,0,2,KH VN
bulu1251,atla1278,yaun1239,Bulu (Cameroon),FALSE,language,316.141,11.6365,bum,,,0,0,5,CM
bulu1253,aust1307,bola1253,Bulu (Papua New Guinea),FALSE,language,-506.134,150.101,bjl,,,0,0,0,PG
buma1244,atla1278,nucl1801,Bumaji,FALSE,language,6.4491,936.028,byp,,,0,0,0,NG
bumb1241,nucl1708,arap1279,Bumbita Arapesh,FALSE,language,-365.508,142.859,aon,,,0,0,5,PG
bumm1238,atla1278,mmen1239,Bum,FALSE,language,648.655,10.418,bmv,,,0,0,0,CM
bumt1238,sino1245,chal1266,Bumthangic,FALSE,family,,,,,,0,3,7,
bumt1240,sino1245,bumt1238,Bumthangkha,FALSE,language,276.494,908.037,kjz,,,0,0,4,BT CN
buna1273,hmon1336,buna1280,Bunu,FALSE,language,241.025,107.711,bwx,,,0,0,3,CN
buna1274,,,Bunaban,FALSE,family,,,,,,0,2,0,
buna1275,buna1274,buna1274,Bunaba,FALSE,language,-178.297,125.631,bck,,,0,0,0,AU
buna1276,aust1307,buna1279,Bunama,FALSE,language,-100.761,151.066,bdd,,,0,0,11,PG
buna1277,nucl1708,mari1433,Buna,FALSE,language,-395.553,144.119,bvn,,,0,0,2,PG
buna1278,timo1261,timo1261,Bunak,FALSE,language,-913.618,125.216,bfn,,,0,0,0,ID TL
buna1279,aust1307,dobu1240,Bunama-Mwatebu,FALSE,family,,,,,,0,2,11,
buna1280,hmon1336,west2803,Bu-Nao-Bunu,FALSE,family,,,,,,0,3,6,
bund1252,indo1319,west2812,Bundeli-Bharia,FALSE,family,,,,,,0,2,22,
bund1253,indo1319,bund1252,Bundeli,FALSE,language,248.982,789.542,bns,,,0,0,22,IN
bund1258,nduu1242,sawo1235,Burui-Gaikundi,FALSE,family,,,,,,0,2,0,
bung1259,atla1278,konj1252,Bung,FALSE,language,640.736,11.6389,bqd,,,0,0,0,CM
bung1264,pama1250,warr1256,Bunganditj,FALSE,language,-36.5,140.5,xbg,,,0,0,0,AU
bung1265,atla1278,mwik1240,Bungu,FALSE,language,-832.587,328.801,wun,,,0,0,0,TZ
bung1268,aust1307,sout2928,Bungku-Tolaki,FALSE,family,,,,,,5,15,28,
bung1269,aust1307,east2490,Bungku,FALSE,language,-322.197,122.212,bkz,,,0,0,6,ID
bung1270,nucl1708,mari1433,Bungain,FALSE,language,-369.674,143.796,but,,,0,0,0,PG
bunm1234,yuat1252,miya1267,Bun-Mundukumo,FALSE,family,,,,,,0,2,0,
bunn1240,yuat1252,bunm1234,Bun,FALSE,language,-451.885,143.892,buv,,,0,0,0,PG
buno1241,dogo1299,pena1272,Bunoge Dogon,FALSE,language,14.43,-3.49,dgb,,,0,0,0,ML
bunu1267,aust1307,aust1307,Bunun,FALSE,language,234.116,121.025,bnn,,,0,0,7,CN
buol1237,aust1307,goro1273,Buol,FALSE,language,97.727,121.519,blf,,,0,0,0,ID
bura1267,mani1293,bure1238,Burarra,FALSE,language,-123.061,134.365,bvr,,,0,0,3,AU
bura1270,atla1278,nort3378,Burak-Loo,FALSE,family,,,,,,0,2,0,
bura1271,atla1278,bura1270,Burak,FALSE,language,949.451,11.0698,bys,,,0,0,0,NG
bura1276,geel1240,bura1294,Burate,FALSE,language,-279.301,136.038,bti,,,0,0,0,ID
bura1292,afro1255,bura1297,Bura-Pabir,FALSE,language,10.4822,12.3007,bwr,,,0,0,3,NG
bura1294,geel1240,geel1240,Burate-Wate,FALSE,family,,,,,,0,2,0,
bura1296,afro1255,marg1267,Bura-Marghi,FALSE,family,,,,,,3,7,8,
bura1297,afro1255,bura1296,Buraic,FALSE,family,,,,,,0,4,3,
bura1298,narr1279,narr1279,Buram-Saraf,FALSE,family,,,,,,3,6,6,
burd1238,pama1250,thal1243,Burduna,FALSE,language,-229.646,114.658,bxn,,,0,0,0,AU
bure1238,mani1293,mani1293,Bureran,FALSE,family,,,,,,0,2,3,
bure1242,afro1255,unun9876,Bure,FALSE,language,10.4603,10.4554,bvh,,,0,0,0,NG
buri1258,mong1349,khal1273,Buriat,FALSE,family,,,bua,,,0,3,12,RU
burj1242,afro1255,high1285,Burji,FALSE,language,444.624,384.646,bji,,,0,0,0,ET KE
burm1262,sino1245,uncl1508,Burma Pyu,FALSE,language,2.131.928,95.897.864,pyx,,,0,0,0,MM
burm1263,aust1307,cent2315,Burmbar,FALSE,language,-1.641.653,16.773.124,vrt,,,0,0,0,VU
burm1264,,,Burmeso,FALSE,language,-247.582,138.203,bzu,,,0,0,0,ID
burm1265,sino1245,sino1245,Burmo-Qiangic,FALSE,family,,,,,,102,160,160,
burm1266,sino1245,lolo1265,Burmish,FALSE,family,,,,,,8,17,23,
buru1296,,,Burushaski,FALSE,language,362.161,748.236,bsk,,,0,0,3,IN PK
buru1299,atla1278,sout3152,Buru-Angwe,FALSE,language,701.091,10.8617,bqw,,,0,0,2,NG
buru1301,nilo1247,buru1328,Northern Burun,FALSE,language,10.725,33.921,bdi,,,0,0,5,SD SS
buru1303,aust1307,buru1322,Buru (Indonesia),FALSE,language,-343.957,126.632,mhs,,,0,0,4,ID
buru1304,aust1307,tidu1238,Burusu,FALSE,language,336.912,117.012,bqr,,,0,0,0,ID
buru1306,nucl1709,koso1246,Burum-Mindik,FALSE,language,-651.663,147.333,bmu,,,0,0,2,PG
buru1307,nucl1709,kwer1267,Burumakok,FALSE,language,-512.217,140.03,aip,,,0,0,0,ID
buru1308,nucl1709,saba1280,Buruwai,FALSE,language,-354.561,133.327,asi,,,0,0,0,ID
buru1309,nduu1242,bund1258,Burui,FALSE,language,-403.527,143.015,bry,,,0,0,0,PG
buru1320,afro1255,west2720,Burunge,FALSE,language,-521.369,35.963,bds,,,0,0,0,TZ
buru1322,aust1307,sula1247,Buruic,FALSE,family,,,,,,0,3,6,
buru1328,nilo1247,west2493,Burun,FALSE,family,,,,,,1,3,8,
busa1251,atla1278,sout3181,Busam,FALSE,language,5.8604,968.068,bxs,,,0,0,0,CM
busa1252,mand1469,samo1302,Busan,FALSE,family,,,,,,2,5,5,
busa1253,mand1469,boko1265,Busa,FALSE,language,991.074,439.929,bqp,,,0,0,3,NG
busa1254,aust1307,seru1248,Busami,FALSE,language,-173.681,136.032,bsm,,,0,0,0,ID
busa1255,aust1307,reja1244,Busang Kayan,FALSE,language,3.494,115.401,bfg,,,0,0,3,ID
bush1247,atla1278,bush1251,Bushoong,FALSE,language,-469.463,214.556,buf,,,0,0,6,CD
bush1250,aust1307,nort3196,Kibosy Kiantalaotsy-Majunga,FALSE,language,-129.652,451.368,buc,,,0,0,2,YT
bush1251,atla1278,nkut1239,Bushoong-Wongo-Lele,FALSE,family,,,,,,0,3,9,
buso1238,aust1307,muni1256,Busoa,FALSE,language,-560.524,122.622,bup,,,0,0,0,ID
buss1239,afro1255,gido1236,Bussa,FALSE,language,574.987,372.017,dox,,,0,0,0,ET
busu1244,atla1278,sout3152,Busuu,FALSE,language,668.152,978.433,bju,,,0,0,0,CM
busu1245,aust1307,lowe1411,Busu,FALSE,family,,,,,,1,5,0,
butb1235,aust1307,sout3203,Butbut Kalinga,FALSE,language,172.239,121.091,kyb,,,0,0,0,PH
butm1237,aust1307,sout3220,Farafi,FALSE,language,-153.353,167.034,bnr,,,0,0,0,VU
buto1237,aust1307,nucl1573,Butonic,FALSE,family,,,,,,1,3,10,
butu1243,aust1307,sout3175,Butuan-Tausug,FALSE,family,,,,,,0,2,0,
butu1244,aust1307,butu1243,Butuanon,FALSE,language,887.009,125.418,btw,,,0,0,0,PH
buuu1244,atla1278,ninz1247,Bu,FALSE,language,905.077,865.697,jid,,,0,0,2,NG
buwa1243,afro1255,buwa1244,Buwal,FALSE,language,10.6151,138.838,bhs,,,0,0,0,CM
buwa1244,afro1255,bium1274,Buwal-Gavar,FALSE,family,,,,,,0,2,0,
buya1244,taik1256,east2365,Buyang,FALSE,family,,,byu,,,1,4,0,
buyu1238,sino1245,jino1236,Buyuan Jinuo,FALSE,language,22.0,101.08,jiy,,,0,0,0,CN
